structure,HADDOCK-score,correlation,atomic-clashes
5GRS_10w.pdb,-2250.2348,0.8911,1
5GRS_11w.pdb,-2235.474069,0.8902,0
5GRS_12w.pdb,-2095.428305,0.8893,1
5GRS_13w.pdb,-2147.809759,0.8904,0
5GRS_14w.pdb,-2244.340207,0.8909,0
5GRS_15w.pdb,-2207.064389,0.8908,0
5GRS_16w.pdb,-2218.78436,0.8918,0
5GRS_17w.pdb,-2112.755271,0.8906,0
5GRS_18w.pdb,-2241.653051,0.8894,0
5GRS_19w.pdb,-2077.4002,0.8888,1
5GRS_1w.pdb,-2278.59117,0.8913,0
5GRS_20w.pdb,-2169.67426,0.8905,0
5GRS_21w.pdb,-2288.708571,0.8917,0
5GRS_22w.pdb,-2163.792039,0.89,0
5GRS_23w.pdb,-2223.743942,0.89,0
5GRS_24w.pdb,-2097.186034,0.8897,0
5GRS_25w.pdb,-2208.12133,0.8906,0
5GRS_26w.pdb,-2298.586272,0.8915,0
5GRS_27w.pdb,-2148.942326,0.8916,0
5GRS_28w.pdb,-2196.207165,0.8877,0
5GRS_29w.pdb,-2248.787091,0.8918,0
5GRS_2w.pdb,-2175.013298,0.8909,0
5GRS_30w.pdb,-2149.143366,0.887,0
5GRS_31w.pdb,-2218.451997,0.8906,1
5GRS_32w.pdb,-2093.555175,0.8896,1
5GRS_33w.pdb,-2208.946609,0.8902,0
5GRS_34w.pdb,-2146.438128,0.8899,1
5GRS_35w.pdb,-2218.260353,0.8917,1
5GRS_36w.pdb,-2181.06657,0.8887,1
5GRS_37w.pdb,-2278.290788,0.8884,0
5GRS_38w.pdb,-2282.24562,0.8901,1
5GRS_39w.pdb,-2280.068917,0.8895,0
5GRS_3w.pdb,-2131.610933,0.8909,0
5GRS_40w.pdb,-2225.294416,0.8898,0
5GRS_41w.pdb,-2287.299514,0.8918,0
5GRS_42w.pdb,-2290.46464,0.8913,0
5GRS_43w.pdb,-2258.403179,0.8924,0
5GRS_44w.pdb,-2247.321308,0.891,0
5GRS_45w.pdb,-2290.704539,0.8911,1
5GRS_46w.pdb,-2330.16982,0.8903,0
5GRS_47w.pdb,-2168.616543,0.8908,0
5GRS_48w.pdb,-2126.322519,0.888,0
5GRS_49w.pdb,-2196.016963,0.8887,0
5GRS_4w.pdb,-2252.345708,0.8894,0
5GRS_50w.pdb,-2087.583797,0.8916,1
5GRS_5w.pdb,-2246.31305,0.8911,0
5GRS_6w.pdb,-2238.493482,0.8901,0
5GRS_7w.pdb,-2169.381969,0.89,1
5GRS_8w.pdb,-2220.731368,0.8892,0
5GRS_9w.pdb,-2281.570212,0.8893,1
