structure,peptide-outlier-percent,peptide-bad-outlier-percent,ca-outlier-percent
3J95,9.5,4.1,2.01
3J96,10.5,3.8,1.29
5GRS,13.4,4.1,1.15
5HNY,18.3,7.9,1.42
5WCB,12.8,4.9,1.60
6ACG,21.8,8.8,2.47
6AHF,29.8,14.9,6.15
6IRF,13.3,5.3,1.35
6N1Q,12.9,5.7,1.48
6N7G,17.3,7.0,1.22
6N8Z,10.3,3.9,1.01
6R7I,14.0,5.9,2.32
6UBY,5.3,1.5,0.48
6UC0,5.4,1.6,0.51
