structure,HADDOCK-score,atomic-clashes
6ACG_1.pdb,-3691.237,6
6ACG_10.pdb,-3691.237,6
6ACG_11.pdb,-3691.237,6
6ACG_12.pdb,-3691.237,6
6ACG_13.pdb,-3691.237,6
6ACG_14.pdb,-3691.237,6
6ACG_15.pdb,-3691.237,6
6ACG_16.pdb,-3691.237,6
6ACG_17.pdb,-3691.237,6
6ACG_18.pdb,-3691.237,6
6ACG_19.pdb,-3691.237,6
6ACG_2.pdb,-3691.237,6
6ACG_20.pdb,-3691.237,6
6ACG_21.pdb,-3691.237,6
6ACG_22.pdb,-3691.237,6
6ACG_23.pdb,-3691.237,6
6ACG_24.pdb,-3691.237,6
6ACG_25.pdb,-3691.237,6
6ACG_26.pdb,-3691.237,6
6ACG_27.pdb,-3691.237,6
6ACG_28.pdb,-3691.237,6
6ACG_29.pdb,-3691.237,6
6ACG_3.pdb,-3691.237,6
6ACG_30.pdb,-3691.237,6
6ACG_31.pdb,-3691.237,6
6ACG_32.pdb,-3691.237,6
6ACG_33.pdb,-3691.237,6
6ACG_34.pdb,-3691.237,6
6ACG_35.pdb,-3691.237,6
6ACG_36.pdb,-3691.237,6
6ACG_37.pdb,-3691.237,6
6ACG_38.pdb,-3691.237,6
6ACG_39.pdb,-3691.237,6
6ACG_4.pdb,-3691.237,6
6ACG_40.pdb,-3691.237,6
6ACG_41.pdb,-3691.237,6
6ACG_42.pdb,-3691.237,6
6ACG_43.pdb,-3691.237,6
6ACG_44.pdb,-3691.237,6
6ACG_45.pdb,-3691.237,6
6ACG_46.pdb,-3691.237,6
6ACG_47.pdb,-3691.237,6
6ACG_48.pdb,-3691.237,6
6ACG_49.pdb,-3691.237,6
6ACG_5.pdb,-3691.237,6
6ACG_50.pdb,-3691.237,6
6ACG_6.pdb,-3691.237,6
6ACG_7.pdb,-3691.237,6
6ACG_8.pdb,-3691.237,6
6ACG_9.pdb,-3691.237,6
