structure,HADDOCK-score,correlation,atomic-clashes
6N8T_10w.pdb,-2328.10715,0.883,3
6N8T_11w.pdb,-2330.6056,0.8713,0
6N8T_12w.pdb,-2198.1306,0.8716,1
6N8T_13w.pdb,-2167.9312,0.8707,0
6N8T_14w.pdb,-2328.10715,0.883,3
6N8T_15w.pdb,-2235.5644,0.8715,1
6N8T_16w.pdb,-2322.84487,0.8779,1
6N8T_17w.pdb,-2419.0382,0.874,0
6N8T_18w.pdb,-2214.2062,0.8755,0
6N8T_19w.pdb,-2328.10715,0.883,3
6N8T_1w.pdb,-2328.10715,0.883,3
6N8T_20w.pdb,-2379.8529,0.8771,0
6N8T_21w.pdb,-2144.6261,0.8757,1
6N8T_22w.pdb,-2327.9398,0.8739,0
6N8T_23w.pdb,-2142.1625,0.8753,0
6N8T_24w.pdb,-2262.3493,0.8758,0
6N8T_25w.pdb,-2266.484,0.8723,0
6N8T_26w.pdb,-2247.2068,0.8784,0
6N8T_27w.pdb,-2328.10715,0.883,3
6N8T_28w.pdb,-2144.9683,0.8741,0
6N8T_29w.pdb,-2190.215,0.874,1
6N8T_2w.pdb,-2364.7169,0.875,1
6N8T_30w.pdb,-2328.10715,0.883,3
6N8T_31w.pdb,-2032.9053,0.8753,3
6N8T_32w.pdb,-2115.3446,0.8714,0
6N8T_33w.pdb,-2256.7421,0.8742,0
6N8T_34w.pdb,-2305.0346,0.878,0
6N8T_35w.pdb,-2296.4616,0.8744,1
6N8T_36w.pdb,-2328.10715,0.883,3
6N8T_37w.pdb,-2248.6563,0.8728,0
6N8T_38w.pdb,-2361.63229,0.8778,0
6N8T_39w.pdb,-2263.0825,0.8717,1
6N8T_3w.pdb,-2132.1814,0.8777,0
6N8T_40w.pdb,-2294.648,0.8743,0
6N8T_41w.pdb,-2166.0019,0.875,1
6N8T_42w.pdb,-2293.6916,0.8776,0
6N8T_43w.pdb,-2081.3815,0.8686,1
6N8T_44w.pdb,-2236.5766,0.8695,1
6N8T_45w.pdb,-2413.0906,0.8719,2
6N8T_46w.pdb,-2328.10715,0.883,3
6N8T_47w.pdb,-2310.5907,0.8754,0
6N8T_48w.pdb,-2037.9703,0.8748,0
6N8T_49w.pdb,-2222.4479,0.8764,0
6N8T_4w.pdb,-1848.7473,0.8648,0
6N8T_50w.pdb,-2277.3146,0.8764,1
6N8T_5w.pdb,-2298.91,0.8774,0
6N8T_6w.pdb,-2104.0061,0.8715,0
6N8T_7w.pdb,-2172.0074,0.8678,3
6N8T_8w.pdb,-2328.10715,0.883,3
6N8T_9w.pdb,-1938.2228,0.8697,2
