structure,HADDOCK-score,atomic-clashes
6ENY_10.pdb,-1353.64405,2
6ENY_11.pdb,-1271.43992,1
6ENY_12.pdb,-1352.54096,3
6ENY_13.pdb,-1312.8561,2
6ENY_14.pdb,-1262.62932,2
6ENY_15.pdb,-1390.29281,0
6ENY_16.pdb,-1295.98705,0
6ENY_17.pdb,-1389.6811,2
6ENY_18.pdb,-1407.49303,1
6ENY_19.pdb,-1349.94033,2
6ENY_1.pdb,-1419.90626,1
6ENY_20.pdb,-1498.07425,0
6ENY_21.pdb,-1372.05446,1
6ENY_22.pdb,-1364.55027,1
6ENY_23.pdb,-1513.8733,3
6ENY_24.pdb,-1362.1738,1
6ENY_25.pdb,-1414.71534,1
6ENY_26.pdb,-1475.03698,1
6ENY_27.pdb,-1381.78038,1
6ENY_28.pdb,-1302.62587,1
6ENY_29.pdb,-1328.77643,2
6ENY_2.pdb,-1311.98476,1
6ENY_30.pdb,-1326.27624,1
6ENY_31.pdb,-1415.41853,1
6ENY_32.pdb,-1385.4578,2
6ENY_33.pdb,-1300.45074,2
6ENY_34.pdb,-1412.8331,3
6ENY_35.pdb,-1434.52192,2
6ENY_36.pdb,-1466.93443,3
6ENY_37.pdb,-1418.44477,2
6ENY_38.pdb,-1358.21156,4
6ENY_39.pdb,-1305.7758,2
6ENY_3.pdb,-1329.69732,2
6ENY_40.pdb,-1380.52696,1
6ENY_41.pdb,-1401.2361,1
6ENY_42.pdb,-1442.49486,3
6ENY_43.pdb,-1391.27271,1
6ENY_44.pdb,-1442.31657,2
6ENY_45.pdb,-1321.96068,2
6ENY_46.pdb,-1506.65301,2
6ENY_47.pdb,-1518.32873,5
6ENY_48.pdb,-1376.40099,3
6ENY_49.pdb,-1431.88203,1
6ENY_4.pdb,-1368.68,3
6ENY_50.pdb,-1342.80648,2
6ENY_5.pdb,-1394.86477,1
6ENY_6.pdb,-1513.70111,1
6ENY_7.pdb,-1359.10234,0
6ENY_8.pdb,-1371.27944,1
6ENY_9.pdb,-1411.56578,1
