structure,HADDOCK-score,correlation
6C06_10.pdb,,0.892
6C06_11.pdb,,0.8905
6C06_15.pdb,,0.8883
6C06_17.pdb,,0.8945
6C06_18.pdb,,0.8924
6C06_19.pdb,,0.8922
6C06_20.pdb,,0.8875
6C06_21.pdb,,0.8937
6C06_23.pdb,,0.8937
6C06_24.pdb,,0.8881
6C06_25.pdb,,0.8877
6C06_26.pdb,,0.8929
6C06_29.pdb,,0.8923
6C06_3.pdb,,0.8939
6C06_32.pdb,,0.8917
6C06_33.pdb,,0.8896
6C06_36.pdb,,0.8899
6C06_38.pdb,,0.8921
6C06_39.pdb,,0.8934
6C06_4.pdb,,0.8874
6C06_40.pdb,,0.8872
6C06_41.pdb,,0.8935
6C06_42.pdb,,0.8931
6C06_47.pdb,,0.89
6C06_49.pdb,,0.8928
6C06_5.pdb,,0.8907
6C06_8.pdb,,0.8905
6C06_9.pdb,,0.8892
