structure,HADDOCK-score,atomic-clashes
6C3P_1.pdb,-3138.625,4
6C3P_10.pdb,-3138.625,4
6C3P_11.pdb,-3138.625,4
6C3P_12.pdb,-3138.625,4
6C3P_13.pdb,-3138.625,4
6C3P_14.pdb,-3138.625,4
6C3P_15.pdb,-3138.625,4
6C3P_16.pdb,-3138.625,4
6C3P_17.pdb,-3138.625,4
6C3P_18.pdb,-3138.625,4
6C3P_19.pdb,-3138.625,4
6C3P_2.pdb,-3138.625,4
6C3P_20.pdb,-3138.625,4
6C3P_21.pdb,-3138.625,4
6C3P_22.pdb,-3138.625,4
6C3P_23.pdb,-3138.625,4
6C3P_24.pdb,-3138.625,4
6C3P_25.pdb,-3138.625,4
6C3P_26.pdb,-3138.625,4
6C3P_27.pdb,-3138.625,4
6C3P_28.pdb,-3138.625,4
6C3P_29.pdb,-3138.625,4
6C3P_3.pdb,-3138.625,4
6C3P_30.pdb,-3138.625,4
6C3P_31.pdb,-3138.625,4
6C3P_32.pdb,-3138.625,4
6C3P_33.pdb,-3138.625,4
6C3P_34.pdb,-3138.625,4
6C3P_35.pdb,-3138.625,4
6C3P_36.pdb,-3138.625,4
6C3P_37.pdb,-3138.625,4
6C3P_38.pdb,-3138.625,4
6C3P_39.pdb,-3138.625,4
6C3P_4.pdb,-3138.625,4
6C3P_40.pdb,-3138.625,4
6C3P_41.pdb,-3138.625,4
6C3P_42.pdb,-3138.625,4
6C3P_43.pdb,-3138.625,4
6C3P_44.pdb,-3138.625,4
6C3P_45.pdb,-3138.625,4
6C3P_46.pdb,-3138.625,4
6C3P_47.pdb,-3138.625,4
6C3P_48.pdb,-3138.625,4
6C3P_49.pdb,-3138.625,4
6C3P_5.pdb,-3138.625,4
6C3P_50.pdb,-3138.625,4
6C3P_6.pdb,-3138.625,4
6C3P_7.pdb,-3138.625,4
6C3P_8.pdb,-3138.625,4
6C3P_9.pdb,-3138.625,4
