structure,resolution
3J95,7.6
3J96,7.6
5GRS,5.4
5HNY,6.3
5WCB,6.0
6ACG,5.4
6AHF,6.78
6C06,5.15
6C3P,5.6
6ENY,5.8
6IRF,5.1
6N1Q,5.16
6N7G,6.8
6N8T,7.7
6N8Z,9.3
6R7I,5.9
6UBY,7.5
6UC0,7.5
