structure,HADDOCK-score,correlation,atomic-clashes
6N8Z_10w.pdb,-2670.12672,0.9287,0
6N8Z_11w.pdb,-2604.001999,0.9282,0
6N8Z_12w.pdb,-2118.86375,0.9326,6
6N8Z_13w.pdb,-2640.185612,0.929,0
6N8Z_14w.pdb,-2637.66135,0.9284,0
6N8Z_15w.pdb,-2118.86375,0.9326,6
6N8Z_16w.pdb,-2118.86375,0.9326,6
6N8Z_17w.pdb,-2643.900379,0.9283,0
6N8Z_18w.pdb,-2118.86375,0.9326,6
6N8Z_19w.pdb,-2118.86375,0.9326,6
6N8Z_1w.pdb,-2118.86375,0.9326,6
6N8Z_20w.pdb,-2605.368645,0.9286,0
6N8Z_21w.pdb,-2118.86375,0.9326,6
6N8Z_22w.pdb,-2634.196721,0.929,0
6N8Z_23w.pdb,-2118.86375,0.9326,6
6N8Z_24w.pdb,-2656.249402,0.9292,0
6N8Z_25w.pdb,-2679.332405,0.9291,0
6N8Z_26w.pdb,-2118.86375,0.9326,6
6N8Z_27w.pdb,-2118.86375,0.9326,6
6N8Z_28w.pdb,-2625.156794,0.9285,0
6N8Z_29w.pdb,-2622.997823,0.9292,0
6N8Z_2w.pdb,-2619.147829,0.9283,0
6N8Z_30w.pdb,-2659.39857,0.9294,0
6N8Z_31w.pdb,-2641.549968,0.9285,0
6N8Z_32w.pdb,-2118.86375,0.9326,6
6N8Z_33w.pdb,-2118.86375,0.9326,6
6N8Z_34w.pdb,-2118.86375,0.9326,6
6N8Z_35w.pdb,-2118.86375,0.9326,6
6N8Z_36w.pdb,-2118.86375,0.9326,6
6N8Z_37w.pdb,-2580.527998,0.9284,0
6N8Z_38w.pdb,-2118.86375,0.9326,6
6N8Z_39w.pdb,-2622.87061,0.9287,0
6N8Z_3w.pdb,-2118.86375,0.9326,6
6N8Z_40w.pdb,-2118.86375,0.9326,6
6N8Z_41w.pdb,-2666.573974,0.9292,0
6N8Z_42w.pdb,-2118.86375,0.9326,6
6N8Z_43w.pdb,-2650.369394,0.9285,0
6N8Z_44w.pdb,-2118.86375,0.9326,6
6N8Z_45w.pdb,-2688.036704,0.929,0
6N8Z_46w.pdb,-2614.990911,0.9284,0
6N8Z_47w.pdb,-2118.86375,0.9326,6
6N8Z_48w.pdb,-2118.86375,0.9326,6
6N8Z_49w.pdb,-2592.83704,0.9291,0
6N8Z_4w.pdb,-2118.86375,0.9326,6
6N8Z_50w.pdb,-2118.86375,0.9326,6
6N8Z_5w.pdb,-2620.275147,0.9287,0
6N8Z_6w.pdb,-2696.10384,0.9287,0
6N8Z_7w.pdb,-2699.772862,0.9286,0
6N8Z_8w.pdb,-2118.86375,0.9326,6
6N8Z_9w.pdb,-2567.114619,0.9285,0
