structure,HADDOCK-score,correlation,atomic-clashes
6IRF_10w.pdb,-1390.63425,0.8879,1
6IRF_11w.pdb,-1390.63425,0.8879,1
6IRF_12w.pdb,-1390.63425,0.8879,1
6IRF_13w.pdb,-1390.63425,0.8879,1
6IRF_14w.pdb,-1444.12931,0.875,0
6IRF_15w.pdb,-1440.84239,0.8747,0
6IRF_16w.pdb,-1390.63425,0.8879,1
6IRF_17w.pdb,-1390.63425,0.8879,1
6IRF_18w.pdb,-1390.63425,0.8879,1
6IRF_19w.pdb,-1390.63425,0.8879,1
6IRF_1w.pdb,-1390.63425,0.8879,1
6IRF_20w.pdb,-1390.63425,0.8879,1
6IRF_21w.pdb,-1388.39407,0.8749,0
6IRF_22w.pdb,-1441.64773,0.8754,0
6IRF_23w.pdb,-1390.63425,0.8879,1
6IRF_24w.pdb,-1449.72041,0.8762,0
6IRF_25w.pdb,-1416.50378,0.8756,0
6IRF_26w.pdb,-1390.63425,0.8879,1
6IRF_27w.pdb,-1390.63425,0.8879,1
6IRF_28w.pdb,-1450.83622,0.8756,0
6IRF_29w.pdb,-1370.10629,0.8755,0
6IRF_2w.pdb,-1390.63425,0.8879,1
6IRF_30w.pdb,-1431.66662,0.8755,0
6IRF_31w.pdb,-1390.63425,0.8879,1
6IRF_32w.pdb,-1390.63425,0.8879,1
6IRF_33w.pdb,-1422.38743,0.8756,0
6IRF_34w.pdb,-1390.63425,0.8879,1
6IRF_35w.pdb,-1390.07387,0.8757,0
6IRF_36w.pdb,-1390.63425,0.8879,1
6IRF_37w.pdb,-1425.55839,0.8753,0
6IRF_38w.pdb,-1458.29653,0.8753,0
6IRF_39w.pdb,-1389.4565,0.8756,0
6IRF_3w.pdb,-1450.33876,0.8751,0
6IRF_40w.pdb,-1407.75523,0.8751,0
6IRF_41w.pdb,-1441.26562,0.8749,0
6IRF_42w.pdb,-1390.63425,0.8879,1
6IRF_43w.pdb,-1373.01413,0.8752,0
6IRF_44w.pdb,-1390.63425,0.8879,1
6IRF_45w.pdb,-1390.63425,0.8879,1
6IRF_46w.pdb,-1436.47302,0.8748,0
6IRF_47w.pdb,-1428.33431,0.876,0
6IRF_48w.pdb,-1375.27376,0.8744,0
6IRF_49w.pdb,-1390.63425,0.8879,1
6IRF_4w.pdb,-1395.48916,0.8751,0
6IRF_50w.pdb,-1466.72258,0.8752,0
6IRF_5w.pdb,-1390.63425,0.8879,1
6IRF_6w.pdb,-1390.63425,0.8879,1
6IRF_7w.pdb,-1458.30805,0.8761,0
6IRF_8w.pdb,-1417.25966,0.8746,0
6IRF_9w.pdb,-1390.63425,0.8879,1
