structure,HADDOCK-score,correlation
6N7G_1.pdb,-2181.9322,0.9137
6N7G_10.pdb,-2100.54481,0.9204
6N7G_11.pdb,-2227.3956,0.9177
6N7G_12.pdb,-2218.6109,0.9151
6N7G_13.pdb,-2075.01051,0.9142
6N7G_14.pdb,-2387.35614,0.917
6N7G_15.pdb,-2290.5872,0.9163
6N7G_16.pdb,-2272.9437,0.9152
6N7G_17.pdb,-2264.97976,0.916
6N7G_18.pdb,-2184.562,0.9145
6N7G_19.pdb,-2129.5596,0.9154
6N7G_2.pdb,-2213.5954,0.9166
6N7G_20.pdb,-2386.96676,0.9178
6N7G_21.pdb,-2214.23793,0.9164
6N7G_22.pdb,-2034.211,0.9146
6N7G_23.pdb,-2395.75571,0.9158
6N7G_24.pdb,-2270.4316,0.9143
6N7G_25.pdb,-2354.32766,0.917
6N7G_26.pdb,-2436.7226,0.9171
6N7G_27.pdb,-2114.40067,0.9178
6N7G_28.pdb,-2222.1313,0.9142
6N7G_29.pdb,-2374.31,0.9146
6N7G_3.pdb,-2100.20708,0.9167
6N7G_30.pdb,-2244.1249,0.9154
6N7G_31.pdb,-2353.2439,0.9176
6N7G_32.pdb,-2208.75012,0.9171
6N7G_33.pdb,-2215.8901,0.9146
6N7G_34.pdb,-2256.18434,0.9161
6N7G_35.pdb,-2203.19735,0.915
6N7G_36.pdb,-2185.4976,0.9182
6N7G_37.pdb,-2115.1428,0.9134
6N7G_38.pdb,-2147.404,0.9175
6N7G_39.pdb,-2317.63296,0.9155
6N7G_4.pdb,-2404.29508,0.9163
6N7G_40.pdb,-2258.7727,0.9151
6N7G_41.pdb,-2180.3868,0.915
6N7G_42.pdb,-2197.1521,0.9167
6N7G_43.pdb,-2529.32468,0.9168
6N7G_44.pdb,-2071.7229,0.9151
6N7G_45.pdb,-2301.5933,0.917
6N7G_46.pdb,-2100.54481,0.9204
6N7G_47.pdb,-2040.05453,0.9172
6N7G_48.pdb,-2182.7214,0.9153
6N7G_49.pdb,-2534.7213,0.9166
6N7G_5.pdb,-2018.79157,0.9171
6N7G_50.pdb,-2292.4944,0.916
6N7G_6.pdb,-1942.6586,0.9136
6N7G_7.pdb,-2163.1804,0.9166
6N7G_8.pdb,-2170.80283,0.9171
6N7G_9.pdb,-2304.55589,0.9161
