structure,HADDOCK-score,correlation,atomic-clashes
6IRF_10w.pdb,-1256.4619,0.8809,1
6IRF_11w.pdb,-1102.32928,0.8799,0
6IRF_12w.pdb,-1168.71462,0.88,2
6IRF_13w.pdb,-1218.74728,0.883,1
6IRF_14w.pdb,-1062.46755,0.8796,0
6IRF_15w.pdb,-1127.75569,0.8807,2
6IRF_16w.pdb,-1222.33617,0.8822,2
6IRF_17w.pdb,-1066.27835,0.8821,1
6IRF_18w.pdb,-1246.0885,0.8826,0
6IRF_19w.pdb,-1181.01335,0.881,0
6IRF_1w.pdb,-1181.5843,0.8833,0
6IRF_20w.pdb,-1219.41417,0.8814,1
6IRF_21w.pdb,-1293.75783,0.8841,0
6IRF_22w.pdb,-1232.48628,0.8831,2
6IRF_23w.pdb,-1258.11389,0.8843,1
6IRF_24w.pdb,-1267.90403,0.8823,0
6IRF_25w.pdb,-1105.24723,0.8784,3
6IRF_26w.pdb,-1150.10819,0.8804,4
6IRF_27w.pdb,-1316.11594,0.8833,2
6IRF_28w.pdb,-1286.39571,0.8814,1
6IRF_29w.pdb,-1275.03274,0.8833,2
6IRF_2w.pdb,-1238.51697,0.8829,1
6IRF_30w.pdb,-1198.13638,0.8797,1
6IRF_31w.pdb,-1307.81262,0.8813,2
6IRF_32w.pdb,-1215.93598,0.8839,1
6IRF_33w.pdb,-1288.74985,0.8845,0
6IRF_34w.pdb,-1079.54185,0.8811,1
6IRF_35w.pdb,-1285.99743,0.8843,1
6IRF_36w.pdb,-1309.13157,0.885,1
6IRF_37w.pdb,-1160.59745,0.8799,0
6IRF_38w.pdb,-1214.63355,0.8799,2
6IRF_39w.pdb,-1230.28541,0.8819,0
6IRF_3w.pdb,-1101.53992,0.8818,2
6IRF_40w.pdb,-1129.05081,0.8819,2
6IRF_41w.pdb,-1202.22232,0.8816,1
6IRF_42w.pdb,-1251.77036,0.8838,0
6IRF_43w.pdb,-1167.38313,0.8812,2
6IRF_44w.pdb,-1246.46917,0.8828,2
6IRF_45w.pdb,-1125.19154,0.8822,1
6IRF_46w.pdb,-1101.74662,0.8787,0
6IRF_47w.pdb,-1161.17506,0.8804,3
6IRF_48w.pdb,-1183.60184,0.8817,1
6IRF_49w.pdb,-1305.55323,0.8812,2
6IRF_4w.pdb,-1336.52521,0.8846,1
6IRF_50w.pdb,-1291.13899,0.8838,1
6IRF_5w.pdb,-1318.48558,0.8838,0
6IRF_6w.pdb,-1224.01645,0.8825,2
6IRF_7w.pdb,-1271.34862,0.8843,0
6IRF_8w.pdb,-1127.0556,0.883,0
6IRF_9w.pdb,-1184.49451,0.8816,2
