structure,HADDOCK-score,atomic-clashes
3J95_1.pdb,-2678.9792,8
3J95_10.pdb,-2678.9792,8
3J95_11.pdb,-2678.9792,8
3J95_12.pdb,-2678.9792,8
3J95_13.pdb,-2678.9792,8
3J95_14.pdb,-2678.9792,8
3J95_15.pdb,-2678.9792,8
3J95_16.pdb,-2678.9792,8
3J95_17.pdb,-2678.9792,8
3J95_18.pdb,-2678.9792,8
3J95_19.pdb,-2678.9792,8
3J95_2.pdb,-2678.9792,8
3J95_20.pdb,-2678.9792,8
3J95_21.pdb,-2678.9792,8
3J95_22.pdb,-2678.9792,8
3J95_23.pdb,-2678.9792,8
3J95_24.pdb,-2678.9792,8
3J95_25.pdb,-2678.9792,8
3J95_26.pdb,-2678.9792,8
3J95_27.pdb,-2678.9792,8
3J95_28.pdb,-2678.9792,8
3J95_29.pdb,-2678.9792,8
3J95_3.pdb,-2678.9792,8
3J95_30.pdb,-2678.9792,8
3J95_31.pdb,-2678.9792,8
3J95_32.pdb,-2678.9792,8
3J95_33.pdb,-2678.9792,8
3J95_34.pdb,-2678.9792,8
3J95_35.pdb,-2678.9792,8
3J95_36.pdb,-2678.9792,8
3J95_37.pdb,-2678.9792,8
3J95_38.pdb,-2678.9792,8
3J95_39.pdb,-2678.9792,8
3J95_4.pdb,-2678.9792,8
3J95_40.pdb,-2678.9792,8
3J95_41.pdb,-2678.9792,8
3J95_42.pdb,-2678.9792,8
3J95_43.pdb,-2678.9792,8
3J95_44.pdb,-2678.9792,8
3J95_45.pdb,-2678.9792,8
3J95_46.pdb,-2678.9792,8
3J95_47.pdb,-2678.9792,8
3J95_48.pdb,-2678.9792,8
3J95_49.pdb,-2678.9792,8
3J95_5.pdb,-2678.9792,8
3J95_50.pdb,-2678.9792,8
3J95_6.pdb,-2678.9792,8
3J95_7.pdb,-2678.9792,8
3J95_8.pdb,-2678.9792,8
3J95_9.pdb,-2678.9792,8
