structure,HADDOCK-score,atomic-clashes
5HNY_1.pdb,-1054.934404,3
5HNY_10.pdb,-1054.934404,3
5HNY_11.pdb,-1054.934404,3
5HNY_12.pdb,-1054.934404,3
5HNY_13.pdb,-1054.934404,3
5HNY_14.pdb,-1054.934404,3
5HNY_15.pdb,-1054.934404,3
5HNY_16.pdb,-1054.934404,3
5HNY_17.pdb,-1054.934404,3
5HNY_18.pdb,-1054.934404,3
5HNY_19.pdb,-1054.934404,3
5HNY_2.pdb,-1054.934404,3
5HNY_20.pdb,-1054.934404,3
5HNY_21.pdb,-1054.934404,3
5HNY_22.pdb,-1054.934404,3
5HNY_23.pdb,-1054.934404,3
5HNY_24.pdb,-1054.934404,3
5HNY_25.pdb,-1054.934404,3
5HNY_26.pdb,-1054.934404,3
5HNY_27.pdb,-1054.934404,3
5HNY_28.pdb,-1054.934404,3
5HNY_29.pdb,-1054.934404,3
5HNY_3.pdb,-1054.934404,3
5HNY_30.pdb,-1054.934404,3
5HNY_31.pdb,-1054.934404,3
5HNY_32.pdb,-1054.934404,3
5HNY_33.pdb,-1054.934404,3
5HNY_34.pdb,-1054.934404,3
5HNY_35.pdb,-1054.934404,3
5HNY_36.pdb,-1054.934404,3
5HNY_37.pdb,-1054.934404,3
5HNY_38.pdb,-1054.934404,3
5HNY_39.pdb,-1054.934404,3
5HNY_4.pdb,-1054.934404,3
5HNY_40.pdb,-1054.934404,3
5HNY_41.pdb,-1054.934404,3
5HNY_42.pdb,-1054.934404,3
5HNY_43.pdb,-1054.934404,3
5HNY_44.pdb,-1054.934404,3
5HNY_45.pdb,-1054.934404,3
5HNY_46.pdb,-1054.934404,3
5HNY_47.pdb,-1054.934404,3
5HNY_48.pdb,-1054.934404,3
5HNY_49.pdb,-1054.934404,3
5HNY_5.pdb,-1054.934404,3
5HNY_50.pdb,-1054.934404,3
5HNY_6.pdb,-1054.934404,3
5HNY_7.pdb,-1054.934404,3
5HNY_8.pdb,-1054.934404,3
5HNY_9.pdb,-1054.934404,3
