structure,HADDOCK-score,correlation,atomic-clashes
6C06_10w.pdb,-2373.5172824,0.8977,1
6C06_11w.pdb,-2373.5172824,0.8977,1
6C06_12w.pdb,-2619.5261886,0.8801,0
6C06_13w.pdb,-2373.5172824,0.8977,1
6C06_14w.pdb,-2373.5172824,0.8977,1
6C06_15w.pdb,-2373.5172824,0.8977,1
6C06_16w.pdb,-2373.5172824,0.8977,1
6C06_17w.pdb,-2646.0644951,0.8811,0
6C06_18w.pdb,-2373.5172824,0.8977,1
6C06_19w.pdb,-2612.2398877,0.8793,0
6C06_1w.pdb,-2373.5172824,0.8977,1
6C06_20w.pdb,-2373.5172824,0.8977,1
6C06_21w.pdb,-2613.4920536,0.8797,0
6C06_22w.pdb,-2373.5172824,0.8977,1
6C06_23w.pdb,-2373.5172824,0.8977,1
6C06_24w.pdb,-2571.3716248,0.8807,0
6C06_25w.pdb,-2719.9548733,0.8814,0
6C06_26w.pdb,-2622.9118133,0.88,0
6C06_27w.pdb,-2625.2583195,0.8823,0
6C06_28w.pdb,-2639.1775245,0.8808,0
6C06_29w.pdb,-2373.5172824,0.8977,1
6C06_2w.pdb,-2604.5638568,0.8789,0
6C06_30w.pdb,-2373.5172824,0.8977,1
6C06_31w.pdb,-2658.322238,0.8809,0
6C06_32w.pdb,-2643.3450064,0.8805,0
6C06_33w.pdb,-2585.2132767,0.8816,0
6C06_34w.pdb,-2373.5172824,0.8977,1
6C06_35w.pdb,-2373.5172824,0.8977,1
6C06_36w.pdb,-2669.0047156,0.8811,0
6C06_37w.pdb,-2636.5790278,0.8808,0
6C06_38w.pdb,-2579.5186555,0.8804,0
6C06_39w.pdb,-2632.7760416,0.8815,0
6C06_3w.pdb,-2373.5172824,0.8977,1
6C06_40w.pdb,-2373.5172824,0.8977,1
6C06_41w.pdb,-2373.5172824,0.8977,1
6C06_42w.pdb,-2373.5172824,0.8977,1
6C06_43w.pdb,-2596.926124,0.8809,0
6C06_44w.pdb,-2373.5172824,0.8977,1
6C06_45w.pdb,-2373.5172824,0.8977,1
6C06_46w.pdb,-2642.1386135,0.8798,0
6C06_47w.pdb,-2628.368466,0.8821,0
6C06_48w.pdb,-2373.5172824,0.8977,1
6C06_49w.pdb,-2373.5172824,0.8977,1
6C06_4w.pdb,-2373.5172824,0.8977,1
6C06_50w.pdb,-2591.9055535,0.8808,0
6C06_5w.pdb,-2605.9333737,0.8815,0
6C06_6w.pdb,-2657.8149747,0.8811,0
6C06_7w.pdb,-2601.1920567,0.8806,0
6C06_8w.pdb,-2625.27598,0.8808,0
6C06_9w.pdb,-2373.5172824,0.8977,1
