structure,HADDOCK-score,atomic-clashes
5WCB_1.pdb,-1533.4528,0
5WCB_10.pdb,-1533.4528,0
5WCB_11.pdb,-1533.4528,0
5WCB_12.pdb,-1533.4528,0
5WCB_13.pdb,-1533.4528,0
5WCB_14.pdb,-1533.4528,0
5WCB_15.pdb,-1533.4528,0
5WCB_16.pdb,-1533.4528,0
5WCB_17.pdb,-1533.4528,0
5WCB_18.pdb,-1533.4528,0
5WCB_19.pdb,-1533.4528,0
5WCB_2.pdb,-1533.4528,0
5WCB_20.pdb,-1533.4528,0
5WCB_21.pdb,-1533.4528,0
5WCB_22.pdb,-1533.4528,0
5WCB_23.pdb,-1533.4528,0
5WCB_24.pdb,-1533.4528,0
5WCB_25.pdb,-1533.4528,0
5WCB_26.pdb,-1533.4528,0
5WCB_27.pdb,-1533.4528,0
5WCB_28.pdb,-1533.4528,0
5WCB_29.pdb,-1533.4528,0
5WCB_3.pdb,-1533.4528,0
5WCB_30.pdb,-1533.4528,0
5WCB_31.pdb,-1533.4528,0
5WCB_32.pdb,-1533.4528,0
5WCB_33.pdb,-1533.4528,0
5WCB_34.pdb,-1533.4528,0
5WCB_35.pdb,-1533.4528,0
5WCB_36.pdb,-1533.4528,0
5WCB_37.pdb,-1533.4528,0
5WCB_38.pdb,-1533.4528,0
5WCB_39.pdb,-1533.4528,0
5WCB_4.pdb,-1533.4528,0
5WCB_40.pdb,-1533.4528,0
5WCB_41.pdb,-1533.4528,0
5WCB_42.pdb,-1533.4528,0
5WCB_43.pdb,-1533.4528,0
5WCB_44.pdb,-1533.4528,0
5WCB_45.pdb,-1533.4528,0
5WCB_46.pdb,-1533.4528,0
5WCB_47.pdb,-1533.4528,0
5WCB_48.pdb,-1533.4528,0
5WCB_49.pdb,-1533.4528,0
5WCB_5.pdb,-1533.4528,0
5WCB_50.pdb,-1533.4528,0
5WCB_6.pdb,-1533.4528,0
5WCB_7.pdb,-1533.4528,0
5WCB_8.pdb,-1533.4528,0
5WCB_9.pdb,-1533.4528,0
