structure,HADDOCK-score,atomic-clashes
6R7I_1.pdb,-6550.489,14
6R7I_10.pdb,-6550.489,14
6R7I_11.pdb,-6550.489,14
6R7I_12.pdb,-6550.489,14
6R7I_13.pdb,-6550.489,14
6R7I_14.pdb,-6550.489,14
6R7I_15.pdb,-6550.489,14
6R7I_16.pdb,-6550.489,14
6R7I_17.pdb,-6550.489,14
6R7I_18.pdb,-6550.489,14
6R7I_19.pdb,-6550.489,14
6R7I_2.pdb,-6550.489,14
6R7I_20.pdb,-6550.489,14
6R7I_21.pdb,-6550.489,14
6R7I_22.pdb,-6550.489,14
6R7I_23.pdb,-6550.489,14
6R7I_24.pdb,-6550.489,14
6R7I_25.pdb,-6550.489,14
6R7I_26.pdb,-6550.489,14
6R7I_27.pdb,-6550.489,14
6R7I_28.pdb,-6550.489,14
6R7I_29.pdb,-6550.489,14
6R7I_3.pdb,-6550.489,14
6R7I_30.pdb,-6550.489,14
6R7I_31.pdb,-6550.489,14
6R7I_32.pdb,-6550.489,14
6R7I_33.pdb,-6550.489,14
6R7I_34.pdb,-6550.489,14
6R7I_35.pdb,-6550.489,14
6R7I_36.pdb,-6550.489,14
6R7I_37.pdb,-6550.489,14
6R7I_38.pdb,-6550.489,14
6R7I_39.pdb,-6550.489,14
6R7I_4.pdb,-6550.489,14
6R7I_40.pdb,-6550.489,14
6R7I_41.pdb,-6550.489,14
6R7I_42.pdb,-6550.489,14
6R7I_43.pdb,-6550.489,14
6R7I_44.pdb,-6550.489,14
6R7I_45.pdb,-6550.489,14
6R7I_46.pdb,-6550.489,14
6R7I_47.pdb,-6550.489,14
6R7I_48.pdb,-6550.489,14
6R7I_49.pdb,-6550.489,14
6R7I_5.pdb,-6550.489,14
6R7I_50.pdb,-6550.489,14
6R7I_6.pdb,-6550.489,14
6R7I_7.pdb,-6550.489,14
6R7I_8.pdb,-6550.489,14
6R7I_9.pdb,-6550.489,14
