structure,HADDOCK-score,correlation
5WCB_1.pdb,-1920.5755,0.8999
5WCB_10.pdb,-1951.9952,0.9004
5WCB_11.pdb,-1903.7307,0.8976
5WCB_12.pdb,-1933.949,0.9
5WCB_13.pdb,-1875.2432,0.8982
5WCB_14.pdb,-1807.45435,0.899
5WCB_15.pdb,-1783.05,0.8969
5WCB_16.pdb,-2059.0581,0.8989
5WCB_17.pdb,-2114.16537,0.9026
5WCB_18.pdb,-1767.3084,0.8961
5WCB_19.pdb,-1938.8759,0.9015
5WCB_2.pdb,-2132.9239,0.8986
5WCB_20.pdb,-1833.898,0.9011
5WCB_21.pdb,-1795.884,0.9012
5WCB_22.pdb,-1815.0672,0.8969
5WCB_23.pdb,-1830.3361,0.8991
5WCB_24.pdb,-1937.6714,0.9005
5WCB_25.pdb,-2024.1866,0.9015
5WCB_26.pdb,-1907.5187,0.8986
5WCB_27.pdb,-1833.3428,0.902
5WCB_28.pdb,-1810.2337,0.898
5WCB_29.pdb,-1879.4106,0.8968
5WCB_3.pdb,-2018.1568,0.8997
5WCB_30.pdb,-2017.8783,0.8982
5WCB_31.pdb,-1946.8135,0.9016
5WCB_32.pdb,-2039.0543,0.9012
5WCB_33.pdb,-1972.5287,0.8997
5WCB_34.pdb,-1785.4663,0.8921
5WCB_35.pdb,-1699.3011,0.8972
5WCB_36.pdb,-2138.8211,0.8981
5WCB_37.pdb,-1953.0394,0.899
5WCB_38.pdb,-2070.9623,0.8996
5WCB_39.pdb,-2064.33762,0.9014
5WCB_4.pdb,-2003.7657,0.9018
5WCB_40.pdb,-2054.54887,0.8989
5WCB_41.pdb,-1756.3731,0.8993
5WCB_42.pdb,-1755.7542,0.8978
5WCB_43.pdb,-1740.1015,0.8989
5WCB_44.pdb,-1979.57798,0.8995
5WCB_45.pdb,-1997.8851,0.9029
5WCB_46.pdb,-1802.4781,0.8986
5WCB_47.pdb,-1912.19761,0.9015
5WCB_48.pdb,-2020.62122,0.9008
5WCB_49.pdb,-1720.3574,0.8988
5WCB_5.pdb,-1595.6252,0.8951
5WCB_50.pdb,-1968.4833,0.9006
5WCB_6.pdb,-1980.6246,0.8992
5WCB_7.pdb,-1877.9486,0.8954
5WCB_8.pdb,-1819.2187,0.8991
5WCB_9.pdb,-2055.99083,0.9027
