structure,Helix,Sheet,Turn,Coil,All
3J95.pdb,405,1610,770,477,3262
3J96.pdb,1055,2916,1465,759,6195
5GRS.pdb,912,672,758,497,2839
5HNY.pdb,246,506,380,191,1323
5WCB.pdb,111,876,532,368,1887
6ACG.pdb,903,1032,1546,885,4366
6AHF.pdb,53,2040,1993,999,5085
6IRF.pdb,636,1284,1018,604,3542
6N1Q.pdb,544,2024,868,848,4284
6N7G.pdb,170,1168,799,344,2481
6N8Z.pdb,493,2378,1132,619,4622
6R7I.pdb,174,2358,1050,603,4185
6UBY.pdb,633,1228,945,434,3240
6UC0.pdb,633,1229,955,439,3256
