structure,HADDOCK-score,correlation
6C3P_1.pdb,-3778.1275,0.5315
6C3P_10.pdb,-3553.2804,0.5361
6C3P_11.pdb,-3641.1054,0.5385
6C3P_12.pdb,-3417.5223,0.5376
6C3P_13.pdb,-3782.2752,0.5394
6C3P_14.pdb,-3799.4458,0.539
6C3P_15.pdb,-3437.5723,0.5373
6C3P_16.pdb,-3413.8049,0.538
6C3P_17.pdb,-3601.1938,0.5369
6C3P_18.pdb,-3556.0122,0.5464
6C3P_19.pdb,-3478.1187,0.5329
6C3P_2.pdb,-3303.9179,0.5353
6C3P_20.pdb,-3569.5611,0.535
6C3P_21.pdb,-3362.039,0.5389
6C3P_22.pdb,-3440.9566,0.5421
6C3P_23.pdb,-3714.8904,0.5418
6C3P_24.pdb,-3792.1783,0.5368
6C3P_25.pdb,-3183.2876,0.5443
6C3P_26.pdb,-3561.8692,0.5387
6C3P_27.pdb,-3860.7433,0.5356
6C3P_28.pdb,-3592.599,0.5442
6C3P_29.pdb,-3577.3992,0.5406
6C3P_3.pdb,-3585.3021,0.5382
6C3P_30.pdb,-3652.5558,0.5414
6C3P_31.pdb,-3682.2998,0.5403
6C3P_32.pdb,-3451.9837,0.5279
6C3P_33.pdb,-3745.2793,0.5356
6C3P_34.pdb,-3764.1215,0.5373
6C3P_35.pdb,-3748.0486,0.5379
6C3P_36.pdb,-3452.8656,0.5349
6C3P_37.pdb,-3671.2612,0.5353
6C3P_38.pdb,-3494.1026,0.5417
6C3P_39.pdb,-3829.5682,0.5362
6C3P_4.pdb,-3425.7063,0.5327
6C3P_40.pdb,-3542.5105,0.5401
6C3P_41.pdb,-3520.0157,0.5404
6C3P_42.pdb,-3349.9765,0.5375
6C3P_43.pdb,-3705.8419,0.5454
6C3P_44.pdb,-3681.0091,0.5377
6C3P_45.pdb,-3635.868,0.5385
6C3P_46.pdb,-3597.6638,0.5409
6C3P_47.pdb,-3487.9251,0.5318
6C3P_48.pdb,-3709.932,0.5387
6C3P_49.pdb,-3567.2819,0.5399
6C3P_5.pdb,-3691.3104,0.5377
6C3P_50.pdb,-3469.5778,0.5413
6C3P_6.pdb,-3941.222,0.5369
6C3P_7.pdb,-3682.0731,0.5402
6C3P_8.pdb,-3280.87,0.538
6C3P_9.pdb,-3183.2876,0.5443
