structure,HADDOCK-score,correlation,atomic-clashes
5HNY_10w.pdb,-392.51598,0.9351,0
5HNY_11w.pdb,-393.018363,0.9361,1
5HNY_12w.pdb,-390.77085,0.9345,0
5HNY_13w.pdb,-374.757054,0.9363,2
5HNY_14w.pdb,-414.205961,0.9352,0
5HNY_15w.pdb,-380.1735,0.9343,0
5HNY_16w.pdb,-321.4551,0.9322,0
5HNY_17w.pdb,-333.496615,0.9328,0
5HNY_18w.pdb,-360.830692,0.9402,4
5HNY_19w.pdb,-391.86898,0.9345,0
5HNY_1w.pdb,-348.69729,0.9343,0
5HNY_20w.pdb,-415.042977,0.9353,0
5HNY_21w.pdb,-390.80933,0.9347,0
5HNY_22w.pdb,-360.830692,0.9402,4
5HNY_23w.pdb,-388.657282,0.9339,0
5HNY_24w.pdb,-353.128617,0.9332,0
5HNY_25w.pdb,-392.42634,0.9369,1
5HNY_26w.pdb,-381.63545,0.9358,0
5HNY_27w.pdb,-360.830692,0.9402,4
5HNY_28w.pdb,-428.65513,0.9357,2
5HNY_29w.pdb,-414.493545,0.9358,0
5HNY_2w.pdb,-360.61825,0.9349,0
5HNY_30w.pdb,-354.59473,0.9335,0
5HNY_31w.pdb,-401.544908,0.9341,0
5HNY_32w.pdb,-360.830692,0.9402,4
5HNY_33w.pdb,-405.52477,0.9368,0
5HNY_34w.pdb,-417.042584,0.9354,0
5HNY_35w.pdb,-428.34931,0.9345,0
5HNY_36w.pdb,-342.68234,0.9334,2
5HNY_37w.pdb,-359.99678,0.934,0
5HNY_38w.pdb,-399.448763,0.9364,0
5HNY_39w.pdb,-384.590163,0.9329,0
5HNY_3w.pdb,-392.935182,0.9361,0
5HNY_40w.pdb,-405.510666,0.9347,0
5HNY_41w.pdb,-459.132584,0.9347,0
5HNY_42w.pdb,-378.833565,0.9347,0
5HNY_43w.pdb,-410.79212,0.9348,1
5HNY_44w.pdb,-399.77916,0.932,0
5HNY_45w.pdb,-408.507279,0.9349,0
5HNY_46w.pdb,-389.02805,0.9336,0
5HNY_47w.pdb,-366.698346,0.9343,1
5HNY_48w.pdb,-358.5838,0.9369,1
5HNY_49w.pdb,-418.58389,0.934,1
5HNY_4w.pdb,-348.72951,0.9357,1
5HNY_50w.pdb,-438.13476,0.9355,0
5HNY_5w.pdb,-362.757611,0.9341,0
5HNY_6w.pdb,-418.220498,0.9365,3
5HNY_7w.pdb,-361.7036,0.9337,0
5HNY_8w.pdb,-441.06695,0.9353,2
5HNY_9w.pdb,-374.380493,0.9351,0
