structure,HADDOCK-score,atomic-clashes
6C3P_1.pdb,-3444.9829,4
6C3P_10.pdb,-3589.6482,7
6C3P_11.pdb,-3502.5694,4
6C3P_12.pdb,-3600.6044,5
6C3P_13.pdb,-3786.4297,3
6C3P_14.pdb,-3629.9654,3
6C3P_15.pdb,-3542.6597,7
6C3P_16.pdb,-3490.7131,2
6C3P_17.pdb,-3581.3841,8
6C3P_18.pdb,-3762.7524,4
6C3P_19.pdb,-3334.3748,3
6C3P_2.pdb,-3558.4922,3
6C3P_20.pdb,-3357.9324,7
6C3P_21.pdb,-3431.4815,3
6C3P_22.pdb,-3484.6946,1
6C3P_23.pdb,-3673.4433,5
6C3P_24.pdb,-3780.9618,7
6C3P_25.pdb,-3687.9637,9
6C3P_26.pdb,-3111.4352,3
6C3P_27.pdb,-3402.7337,2
6C3P_28.pdb,-3324.6295,9
6C3P_29.pdb,-3348.6641,2
6C3P_3.pdb,-3567.813,5
6C3P_30.pdb,-3798.466,5
6C3P_31.pdb,-3440.4838,3
6C3P_32.pdb,-3689.7919,9
6C3P_33.pdb,-3545.648,8
6C3P_34.pdb,-3771.4068,6
6C3P_35.pdb,-3459.8199,2
6C3P_36.pdb,-3561.6121,2
6C3P_37.pdb,-3463.0167,5
6C3P_38.pdb,-3673.4844,8
6C3P_39.pdb,-3722.0835,5
6C3P_4.pdb,-3564.9859,3
6C3P_40.pdb,-3432.4173,6
6C3P_41.pdb,-3563.9067,6
6C3P_42.pdb,-3652.1726,3
6C3P_43.pdb,-3425.5987,3
6C3P_44.pdb,-3574.7586,5
6C3P_45.pdb,-3402.3927,6
6C3P_46.pdb,-3644.4785,7
6C3P_47.pdb,-3513.3028,5
6C3P_48.pdb,-3111.4352,3
6C3P_49.pdb,-3428.083,4
6C3P_5.pdb,-3372.2211,4
6C3P_50.pdb,-3659.2122,5
6C3P_6.pdb,-3640.6457,4
6C3P_7.pdb,-3868.4961,7
6C3P_8.pdb,-3608.1932,5
6C3P_9.pdb,-3581.8692,5
