structure,pi_score
3J95,0.994
3J96,1.14889
5GRS,1.3025
5HNY,-0.3
5WCB,0.68
6AHF,0.528
6IRF,1.135
6N1Q,0.17625
6N7G,0
6N8Z,0.082
6R7I,-0.2475
6UBY,0.384
6UC0,1.35167
