structure,HADDOCK-score,correlation,atomic-clashes
6C06_10w.pdb,-2417.101043,0.8954,4
6C06_11w.pdb,-2417.101043,0.8954,4
6C06_12w.pdb,-2626.2350603,0.8785,0
6C06_13w.pdb,-2417.101043,0.8954,4
6C06_14w.pdb,-2417.101043,0.8954,4
6C06_15w.pdb,-2417.101043,0.8954,4
6C06_16w.pdb,-2417.101043,0.8954,4
6C06_17w.pdb,-2624.66115304,0.8785,0
6C06_18w.pdb,-2417.101043,0.8954,4
6C06_19w.pdb,-2625.1964771,0.8776,0
6C06_1w.pdb,-2417.101043,0.8954,4
6C06_20w.pdb,-2417.101043,0.8954,4
6C06_21w.pdb,-2627.3091111,0.8796,0
6C06_22w.pdb,-2417.101043,0.8954,4
6C06_23w.pdb,-2417.101043,0.8954,4
6C06_24w.pdb,-2683.9083365,0.8794,0
6C06_25w.pdb,-2594.9809963,0.8795,0
6C06_26w.pdb,-2521.025532,0.8791,0
6C06_27w.pdb,-2570.8350236,0.8801,0
6C06_28w.pdb,-2604.6093335,0.8774,0
6C06_29w.pdb,-2417.101043,0.8954,4
6C06_2w.pdb,-2580.1847098,0.8787,0
6C06_30w.pdb,-2417.101043,0.8954,4
6C06_31w.pdb,-2661.1898199,0.8779,0
6C06_32w.pdb,-2555.1842068,0.8776,0
6C06_33w.pdb,-2645.0187493,0.8803,0
6C06_34w.pdb,-2417.101043,0.8954,4
6C06_35w.pdb,-2417.101043,0.8954,4
6C06_36w.pdb,-2613.28829056,0.8779,0
6C06_37w.pdb,-2684.6806464,0.8772,0
6C06_38w.pdb,-2642.5315946,0.8779,0
6C06_39w.pdb,-2645.1584796,0.8779,0
6C06_3w.pdb,-2417.101043,0.8954,4
6C06_40w.pdb,-2417.101043,0.8954,4
6C06_41w.pdb,-2417.101043,0.8954,4
6C06_42w.pdb,-2417.101043,0.8954,4
6C06_43w.pdb,-2614.9868102,0.8789,0
6C06_44w.pdb,-2417.101043,0.8954,4
6C06_45w.pdb,-2417.101043,0.8954,4
6C06_46w.pdb,-2642.2370468,0.8784,0
6C06_47w.pdb,-2576.3989801,0.8781,0
6C06_48w.pdb,-2417.101043,0.8954,4
6C06_49w.pdb,-2417.101043,0.8954,4
6C06_4w.pdb,-2417.101043,0.8954,4
6C06_50w.pdb,-2677.0895401,0.8777,0
6C06_5w.pdb,-2670.7952732,0.8774,0
6C06_6w.pdb,-2645.4143816,0.8784,0
6C06_7w.pdb,-2679.7957316,0.8785,0
6C06_8w.pdb,-2690.171049,0.8796,0
6C06_9w.pdb,-2417.101043,0.8954,4
