structure,HADDOCK-score,correlation,atomic-clashes
5GRS_10w.pdb,-2189.0683,0.8876,0
5GRS_11w.pdb,-2396.3566,0.8975,0
5GRS_12w.pdb,-2194.030864,0.8884,0
5GRS_13w.pdb,-2179.71646,0.8877,0
5GRS_14w.pdb,-2396.3566,0.8975,0
5GRS_15w.pdb,-2193.09113,0.8879,0
5GRS_16w.pdb,-2219.290145,0.8877,0
5GRS_17w.pdb,-2210.283805,0.8879,0
5GRS_18w.pdb,-2192.242784,0.8878,0
5GRS_19w.pdb,-2396.3566,0.8975,0
5GRS_1w.pdb,-2210.096165,0.8873,0
5GRS_20w.pdb,-2235.07457,0.8878,0
5GRS_21w.pdb,-2200.05837,0.8879,0
5GRS_22w.pdb,-2396.3566,0.8975,0
5GRS_23w.pdb,-2200.11088,0.8879,0
5GRS_24w.pdb,-2196.25127,0.8881,0
5GRS_25w.pdb,-2396.3566,0.8975,0
5GRS_26w.pdb,-2128.479834,0.8873,0
5GRS_27w.pdb,-2172.42832,0.8876,0
5GRS_28w.pdb,-2213.47526,0.8881,0
5GRS_29w.pdb,-2396.3566,0.8975,0
5GRS_2w.pdb,-2183.658561,0.8882,0
5GRS_30w.pdb,-2209.642167,0.8883,0
5GRS_31w.pdb,-2396.3566,0.8975,0
5GRS_32w.pdb,-2396.3566,0.8975,0
5GRS_33w.pdb,-2199.27764,0.8876,0
5GRS_34w.pdb,-2396.3566,0.8975,0
5GRS_35w.pdb,-2184.160879,0.8884,0
5GRS_36w.pdb,-2212.77653,0.8877,0
5GRS_37w.pdb,-2192.30236,0.8876,0
5GRS_38w.pdb,-2177.402191,0.8883,0
5GRS_39w.pdb,-2396.3566,0.8975,0
5GRS_3w.pdb,-2396.3566,0.8975,0
5GRS_40w.pdb,-2396.3566,0.8975,0
5GRS_41w.pdb,-2258.01423,0.8875,0
5GRS_42w.pdb,-2216.70952,0.8869,0
5GRS_43w.pdb,-2193.86589,0.8892,0
5GRS_44w.pdb,-2396.3566,0.8975,0
5GRS_45w.pdb,-2196.6174,0.8882,0
5GRS_46w.pdb,-2396.3566,0.8975,0
5GRS_47w.pdb,-2396.3566,0.8975,0
5GRS_48w.pdb,-2206.90685,0.8872,0
5GRS_49w.pdb,-2219.41504,0.8883,0
5GRS_4w.pdb,-2396.3566,0.8975,0
5GRS_50w.pdb,-2208.18267,0.8882,0
5GRS_5w.pdb,-2396.3566,0.8975,0
5GRS_6w.pdb,-2206.110395,0.8877,0
5GRS_7w.pdb,-2396.3566,0.8975,0
5GRS_8w.pdb,-2396.3566,0.8975,0
5GRS_9w.pdb,-2219.34874,0.8878,0
