structure,HADDOCK-score,atomic-clashes
6N7G_1.pdb,-875.08061,2
6N7G_10.pdb,-875.08061,2
6N7G_11.pdb,-875.08061,2
6N7G_12.pdb,-875.08061,2
6N7G_13.pdb,-875.08061,2
6N7G_14.pdb,-875.08061,2
6N7G_15.pdb,-875.08061,2
6N7G_16.pdb,-875.08061,2
6N7G_17.pdb,-875.08061,2
6N7G_18.pdb,-875.08061,2
6N7G_19.pdb,-875.08061,2
6N7G_2.pdb,-875.08061,2
6N7G_20.pdb,-875.08061,2
6N7G_21.pdb,-875.08061,2
6N7G_22.pdb,-875.08061,2
6N7G_23.pdb,-875.08061,2
6N7G_24.pdb,-875.08061,2
6N7G_25.pdb,-875.08061,2
6N7G_26.pdb,-875.08061,2
6N7G_27.pdb,-875.08061,2
6N7G_28.pdb,-875.08061,2
6N7G_29.pdb,-875.08061,2
6N7G_3.pdb,-875.08061,2
6N7G_30.pdb,-875.08061,2
6N7G_31.pdb,-875.08061,2
6N7G_32.pdb,-875.08061,2
6N7G_33.pdb,-875.08061,2
6N7G_34.pdb,-875.08061,2
6N7G_35.pdb,-875.08061,2
6N7G_36.pdb,-875.08061,2
6N7G_37.pdb,-875.08061,2
6N7G_38.pdb,-875.08061,2
6N7G_39.pdb,-875.08061,2
6N7G_4.pdb,-875.08061,2
6N7G_40.pdb,-875.08061,2
6N7G_41.pdb,-875.08061,2
6N7G_42.pdb,-875.08061,2
6N7G_43.pdb,-875.08061,2
6N7G_44.pdb,-875.08061,2
6N7G_45.pdb,-875.08061,2
6N7G_46.pdb,-875.08061,2
6N7G_47.pdb,-875.08061,2
6N7G_48.pdb,-875.08061,2
6N7G_49.pdb,-875.08061,2
6N7G_5.pdb,-875.08061,2
6N7G_50.pdb,-875.08061,2
6N7G_6.pdb,-875.08061,2
6N7G_7.pdb,-875.08061,2
6N7G_8.pdb,-875.08061,2
6N7G_9.pdb,-875.08061,2
