structure,HADDOCK-score,correlation
6N8T_1.pdb,-5444.14119,0.8835
6N8T_10.pdb,-5444.14119,0.8835
6N8T_11.pdb,-5426.1245,0.8717
6N8T_12.pdb,-5338.9074,0.8722
6N8T_13.pdb,-5207.5729,0.8713
6N8T_14.pdb,-5444.14119,0.8835
6N8T_15.pdb,-5485.6066,0.872
6N8T_16.pdb,-5648.1331,0.8787
6N8T_17.pdb,-5895.1289,0.8745
6N8T_18.pdb,-5369.6179,0.8757
6N8T_19.pdb,-5444.14119,0.8835
6N8T_2.pdb,-5721.4592,0.8755
6N8T_20.pdb,-5646.2405,0.8775
6N8T_21.pdb,-5239.5759,0.8761
6N8T_22.pdb,-5640.2634,0.8745
6N8T_23.pdb,-5054.7376,0.8756
6N8T_24.pdb,-5391.0354,0.8763
6N8T_25.pdb,-5649.8614,0.8727
6N8T_26.pdb,-5734.4543,0.8788
6N8T_27.pdb,-5444.14119,0.8835
6N8T_28.pdb,-5200.1636,0.8747
6N8T_29.pdb,-5175.9067,0.8744
6N8T_3.pdb,-5222.0314,0.878
6N8T_30.pdb,-5444.14119,0.8835
6N8T_31.pdb,-4731.4555,0.8762
6N8T_32.pdb,-5019.4805,0.8721
6N8T_33.pdb,-5312.4576,0.8747
6N8T_34.pdb,-5464.2705,0.8783
6N8T_35.pdb,-5378.9263,0.8751
6N8T_36.pdb,-5444.14119,0.8835
6N8T_37.pdb,-5262.6536,0.8732
6N8T_38.pdb,-5748.8928,0.8781
6N8T_39.pdb,-5389.7659,0.872
6N8T_4.pdb,-4324.2372,0.8654
6N8T_40.pdb,-5405.3701,0.8746
6N8T_41.pdb,-5242.1861,0.8753
6N8T_42.pdb,-5522.0908,0.878
6N8T_43.pdb,-5012.075,0.8691
6N8T_44.pdb,-5208.6022,0.8701
6N8T_45.pdb,-5887.5266,0.8725
6N8T_46.pdb,-5444.14119,0.8835
6N8T_47.pdb,-5351.7745,0.876
6N8T_48.pdb,-5086.1821,0.8753
6N8T_49.pdb,-5316.1076,0.8768
6N8T_5.pdb,-5449.4131,0.8781
6N8T_50.pdb,-5567.981,0.8768
6N8T_6.pdb,-4965.3383,0.8722
6N8T_7.pdb,-5176.8331,0.8682
6N8T_8.pdb,-5444.14119,0.8835
6N8T_9.pdb,-4617.2748,0.8699
