structure,HADDOCK-score,Helix,Sheet,Turn,Coil
6N1Q_27w.pdb,2204.6824,45.3761755486,10.8672936259,18.9916405434,24.7648902821
6N1Q_19w.pdb,2215.6526,46.2904911181,11.1285266458,17.9989550679,24.5820271682
6N1Q_49w.pdb,2247.3343,45.3761755486,10.9979101358,19.1222570533,24.5036572623
6N1Q_33w.pdb,2258.9347,45.3500522466,10.4231974922,19.3573667712,24.8693834901
