structure,HADDOCK-score,correlation,atomic-clashes
6ACG_10w.pdb,-1530.20376,0.8553,0
6ACG_11w.pdb,-1527.28798,0.8553,0
6ACG_12w.pdb,-1503.81782,0.8538,0
6ACG_13w.pdb,-1613.62748,0.8556,0
6ACG_14w.pdb,-1490.43909,0.8554,0
6ACG_15w.pdb,-1493.82733,0.8549,0
6ACG_16w.pdb,-1447.82973,0.8564,0
6ACG_17w.pdb,-1546.56743,0.8567,0
6ACG_18w.pdb,-1553.01902,0.8532,0
6ACG_19w.pdb,-1434.89327,0.8549,1
6ACG_1w.pdb,-1454.92341,0.8561,0
6ACG_20w.pdb,-1658.7405,0.8584,0
6ACG_21w.pdb,-1470.91814,0.8567,0
6ACG_22w.pdb,-1446.491,0.8533,0
6ACG_23w.pdb,-1493.08371,0.8548,0
6ACG_24w.pdb,-1579.23403,0.8548,0
6ACG_25w.pdb,-1507.83183,0.8567,0
6ACG_26w.pdb,-1447.74063,0.8543,0
6ACG_27w.pdb,-1509.32661,0.8537,0
6ACG_28w.pdb,-1599.07141,0.8568,0
6ACG_29w.pdb,-1569.21116,0.8573,0
6ACG_2w.pdb,-1630.40242,0.8562,0
6ACG_30w.pdb,-1533.44704,0.8555,0
6ACG_31w.pdb,-1553.47374,0.8553,0
6ACG_32w.pdb,-1447.3608,0.8532,0
6ACG_33w.pdb,-1455.64331,0.8555,0
6ACG_34w.pdb,-1481.51103,0.8547,0
6ACG_35w.pdb,-1298.06534,0.8515,0
6ACG_36w.pdb,-1405.44013,0.8502,0
6ACG_37w.pdb,-1564.35003,0.8578,0
6ACG_38w.pdb,-1331.8294,0.8534,0
6ACG_39w.pdb,-1530.49305,0.8583,0
6ACG_3w.pdb,-1451.20886,0.8532,0
6ACG_40w.pdb,-1568.99056,0.8565,0
6ACG_41w.pdb,-1428.1256,0.8525,0
6ACG_42w.pdb,-1610.80806,0.8542,0
6ACG_43w.pdb,-1491.18123,0.8546,0
6ACG_44w.pdb,-1486.16707,0.8566,1
6ACG_45w.pdb,-1455.26417,0.8528,0
6ACG_46w.pdb,-1581.52705,0.855,0
6ACG_47w.pdb,-1485.14251,0.8549,0
6ACG_48w.pdb,-1541.68532,0.8532,0
6ACG_49w.pdb,-1675.60578,0.8558,0
6ACG_4w.pdb,-1469.63082,0.8516,0
6ACG_50w.pdb,-1556.40269,0.8547,0
6ACG_5w.pdb,-1557.5336,0.8549,0
6ACG_6w.pdb,-1400.37241,0.8574,0
6ACG_7w.pdb,-1545.18346,0.8551,1
6ACG_8w.pdb,-1587.04798,0.8538,0
6ACG_9w.pdb,-1553.31437,0.8557,0
