structure,HADDOCK-score,atomic-clashes
3J96_1.pdb,-7833.5905,14
3J96_10.pdb,-7833.5905,14
3J96_11.pdb,-7833.5905,14
3J96_12.pdb,-7833.5905,14
3J96_13.pdb,-7833.5905,14
3J96_14.pdb,-7833.5905,14
3J96_15.pdb,-7833.5905,14
3J96_16.pdb,-7833.5905,14
3J96_17.pdb,-7833.5905,14
3J96_18.pdb,-7833.5905,14
3J96_19.pdb,-7833.5905,14
3J96_2.pdb,-7833.5905,14
3J96_20.pdb,-7833.5905,14
3J96_21.pdb,-7833.5905,14
3J96_22.pdb,-7833.5905,14
3J96_23.pdb,-7833.5905,14
3J96_24.pdb,-7833.5905,14
3J96_25.pdb,-7833.5905,14
3J96_26.pdb,-7833.5905,14
3J96_27.pdb,-7833.5905,14
3J96_28.pdb,-7833.5905,14
3J96_29.pdb,-7833.5905,14
3J96_3.pdb,-7833.5905,14
3J96_30.pdb,-7833.5905,14
3J96_31.pdb,-7833.5905,14
3J96_32.pdb,-7833.5905,14
3J96_33.pdb,-7833.5905,14
3J96_34.pdb,-7833.5905,14
3J96_35.pdb,-7833.5905,14
3J96_36.pdb,-7833.5905,14
3J96_37.pdb,-7833.5905,14
3J96_38.pdb,-7833.5905,14
3J96_39.pdb,-7833.5905,14
3J96_4.pdb,-7833.5905,14
3J96_40.pdb,-7833.5905,14
3J96_41.pdb,-7833.5905,14
3J96_42.pdb,-7833.5905,14
3J96_43.pdb,-7833.5905,14
3J96_44.pdb,-7833.5905,14
3J96_45.pdb,-7833.5905,14
3J96_46.pdb,-7833.5905,14
3J96_47.pdb,-7833.5905,14
3J96_48.pdb,-7833.5905,14
3J96_49.pdb,-7833.5905,14
3J96_5.pdb,-7833.5905,14
3J96_50.pdb,-7833.5905,14
3J96_6.pdb,-7833.5905,14
3J96_7.pdb,-7833.5905,14
3J96_8.pdb,-7833.5905,14
3J96_9.pdb,-7833.5905,14
