structure,HADDOCK-score,correlation
6R7I_1.pdb,-3718.6567,0.8831
6R7I_10.pdb,-3641.3812,0.8824
6R7I_11.pdb,-3947.437,0.8862
6R7I_12.pdb,-3783.9177,0.8834
6R7I_13.pdb,-3809.4782,0.8855
6R7I_14.pdb,-3869.7161,0.8824
6R7I_15.pdb,-3847.3583,0.8837
6R7I_16.pdb,-3864.3585,0.883
6R7I_17.pdb,-3744.5818,0.8835
6R7I_18.pdb,-3932.9256,0.8851
6R7I_19.pdb,-3879.1265,0.8806
6R7I_2.pdb,-3781.821,0.8825
6R7I_20.pdb,-3555.4589,0.8844
6R7I_21.pdb,-3635.4705,0.8823
6R7I_22.pdb,-3939.5207,0.8838
6R7I_23.pdb,-3938.5149,0.8844
6R7I_24.pdb,-3750.153,0.8827
6R7I_25.pdb,-3814.3928,0.8827
6R7I_26.pdb,-3930.0048,0.8881
6R7I_27.pdb,-3992.5774,0.8798
6R7I_28.pdb,-3713.5748,0.8852
6R7I_29.pdb,-4275.1386,0.8878
6R7I_3.pdb,-3610.111,0.8825
6R7I_30.pdb,-3877.7659,0.885
6R7I_31.pdb,-3641.461,0.8826
6R7I_32.pdb,-3931.2732,0.8852
6R7I_33.pdb,-4085.2753,0.8887
6R7I_34.pdb,-3733.751,0.8809
6R7I_35.pdb,-4030.6457,0.885
6R7I_36.pdb,-3876.8762,0.8831
6R7I_37.pdb,-3875.0891,0.8861
6R7I_38.pdb,-3823.0586,0.882
6R7I_39.pdb,-3970.2845,0.8842
6R7I_4.pdb,-3436.8003,0.8839
6R7I_40.pdb,-3883.0023,0.8845
6R7I_41.pdb,-3782.7404,0.8807
6R7I_42.pdb,-4008.6917,0.8857
6R7I_43.pdb,-3995.7947,0.8848
6R7I_44.pdb,-4153.565,0.8853
6R7I_45.pdb,-3813.3129,0.8839
6R7I_46.pdb,-4014.3074,0.8846
6R7I_47.pdb,-3729.4173,0.8822
6R7I_48.pdb,-3990.8455,0.881
6R7I_49.pdb,-3863.2028,0.8836
6R7I_5.pdb,-4030.8646,0.8846
6R7I_50.pdb,-4001.1686,0.8826
6R7I_6.pdb,-3540.2614,0.8798
6R7I_7.pdb,-3881.9941,0.8885
6R7I_8.pdb,-3965.276,0.887
6R7I_9.pdb,-3738.0633,0.8791
