structure,HADDOCK-score,correlation,atomic-clashes
6C3P_10w.pdb,-2123.6868,0.5368,1
6C3P_11w.pdb,-2122.23219,0.5385,0
6C3P_12w.pdb,-2136.041,0.5363,2
6C3P_13w.pdb,-2236.7537,0.5325,1
6C3P_14w.pdb,-2118.5498,0.5351,1
6C3P_15w.pdb,-2192.3305,0.5355,2
6C3P_16w.pdb,-2138.4578,0.5381,0
6C3P_17w.pdb,-2163.1334,0.5389,1
6C3P_18w.pdb,-2281.8551,0.5389,1
6C3P_19w.pdb,-2068.3721,0.5342,0
6C3P_1w.pdb,-2165.5245,0.5325,0
6C3P_20w.pdb,-2059.1241,0.5356,2
6C3P_21w.pdb,-2085.9686,0.5409,2
6C3P_22w.pdb,-2123.1438,0.5434,0
6C3P_23w.pdb,-2118.3939,0.5337,1
6C3P_24w.pdb,-2266.6115,0.5363,0
6C3P_25w.pdb,-2174.5164,0.5364,1
6C3P_26w.pdb,-2176.9204,0.5424,3
6C3P_27w.pdb,-2109.5428,0.5419,2
6C3P_28w.pdb,-2074.5835,0.5418,1
6C3P_29w.pdb,-2054.377,0.5359,0
6C3P_2w.pdb,-2145.0431,0.5315,0
6C3P_30w.pdb,-2254.6998,0.5396,0
6C3P_31w.pdb,-2104.7086,0.533,1
6C3P_32w.pdb,-2200.1557,0.5339,0
6C3P_33w.pdb,-2149.9382,0.5408,1
6C3P_34w.pdb,-2250.6073,0.5336,1
6C3P_35w.pdb,-2077.9018,0.5421,0
6C3P_36w.pdb,-2155.5495,0.5384,0
6C3P_37w.pdb,-2127.8468,0.5381,1
6C3P_38w.pdb,-2239.8591,0.5379,1
6C3P_39w.pdb,-2203.0663,0.5343,1
6C3P_3w.pdb,-2135.5523,0.5351,0
6C3P_40w.pdb,-2085.4767,0.5393,1
6C3P_41w.pdb,-2095.9556,0.5389,2
6C3P_42w.pdb,-2134.7602,0.5325,0
6C3P_43w.pdb,-2074.4904,0.5361,2
6C3P_44w.pdb,-2097.9434,0.5359,1
6C3P_45w.pdb,-2116.746,0.5395,2
6C3P_46w.pdb,-2182.3732,0.5319,1
6C3P_47w.pdb,-2193.1836,0.5414,0
6C3P_48w.pdb,-2176.9204,0.5424,3
6C3P_49w.pdb,-2107.0056,0.5393,1
6C3P_4w.pdb,-2132.7768,0.5355,0
6C3P_50w.pdb,-2257.1787,0.5353,1
6C3P_5w.pdb,-2074.3075,0.5407,1
6C3P_6w.pdb,-2179.9617,0.5386,1
6C3P_7w.pdb,-2268.00412,0.5357,0
6C3P_8w.pdb,-2121.8288,0.531,3
6C3P_9w.pdb,-2213.983,0.5372,0
